abbr;time;rre150h0
SMA;201804110500;0.0
SMA;201804110600;0.0
SMA;201804110700;0.0
SMA;201804110800;0.0
SMA;201804110900;0.0
SMA;201804111000;0.0
SMA;201804111100;0.0
SMA;201804111200;0.0
SMA;201804111300;0.0
SMA;201804111400;0.0
SMA;201804111500;0.0
SMA;201804111600;0.0
SMA;201804111700;0.0
SMA;201804111800;0.0
SMA;201804111900;0.0
SMA;201804112000;0.0
SMA;201804112100;0.0
SMA;201804112200;0.0
SMA;201804112300;0.0
SMA;201804120000;0.0
SMA;201804120100;0.0
SMA;201804120200;0.0
SMA;201804120300;0.0
SMA;201804120400;0.0
SMA;201804120500;0.0
SMA;201804120600;0.0
SMA;201804120700;0.0
SMA;201804120800;0.0
SMA;201804120900;0.0
SMA;201804121000;0.0
SMA;201804121100;0.0
SMA;201804121200;0.0
SMA;201804121300;0.0
SMA;201804121400;0.0
SMA;201804121500;0.0
SMA;201804121600;0.0
SMA;201804121700;0.0
SMA;201804121800;0.0
SMA;201804121900;0.0
SMA;201804122000;0.0
SMA;201804122100;0.0
SMA;201804122200;0.0
SMA;201804122300;0.0
SMA;201804130000;0.0
SMA;201804130100;0.0
SMA;201804130200;0.0
SMA;201804130300;0.0
SMA;201804130400;0.0
SMA;201804130500;0.0
SMA;201804130600;0.0
SMA;201804130700;0.0
SMA;201804130800;0.0
SMA;201804130900;0.0
SMA;201804131000;0.0
SMA;201804131100;0.0
SMA;201804131200;0.0
SMA;201804131300;0.0
SMA;201804131400;0.0
SMA;201804131500;0.0
SMA;201804131600;0.1
SMA;201804131700;0.0
SMA;201804131800;0.0
SMA;201804131900;0.0
SMA;201804132000;0.0
SMA;201804132100;0.0
SMA;201804132200;0.0
SMA;201804132300;0.0
SMA;201804140000;0.0
SMA;201804140100;0.0
SMA;201804140200;0.0
SMA;201804140300;0.0
SMA;201804140400;0.0
SMA;201804140500;0.0
SMA;201804140600;0.0
SMA;201804140700;0.0
SMA;201804140800;0.0
SMA;201804140900;0.0
SMA;201804141000;0.0
SMA;201804141100;0.0
SMA;201804141200;0.0
SMA;201804141300;0.0
SMA;201804141400;0.0
SMA;201804141500;0.0
SMA;201804141600;0.0
SMA;201804141700;0.0
SMA;201804141800;0.0
SMA;201804141900;0.0
SMA;201804142000;0.0
SMA;201804142100;0.0
SMA;201804142200;0.0
SMA;201804142300;0.0
SMA;201804150000;0.0
SMA;201804150100;0.0
